"Recip_County","Recip_State","Lat","Long"
"Queen Annes County	962618587	360075353	371.669	139.026	39.040693	-76.082405                                                                                                          
MD	24037	01697853	St. Marys County","MD",38.223077,-76.534487
"Somerset County","MD",38.07445,-75.853323
"Talbot County","MD",38.748349,-76.178476
"Washington County","MD",39.603621,-77.814671
"Wicomico County","MD",38.36737,-75.632083
"Worcester County","MD",38.222133,-75.309931
"Baltimore city","MD",39.300032,-76.610476
"Barnstable County","MA",41.706123,-70.164823
"Berkshire County","MA",42.371493,-73.217928
"Bristol County","MA",41.748588,-71.088894
"Dukes County","MA",41.38097,-70.701499
"Essex County","MA",42.642708,-70.864909
"Franklin County","MA",42.584504,-72.591792
"Hampden County","MA",42.136198,-72.635648
"Hampshire County","MA",42.339459,-72.663694
"Middlesex County","MA",42.481718,-71.394916
"Nantucket County","MA",41.293392,-70.102164
"Norfolk County","MA",42.171738,-71.18111
"Plymouth County","MA",41.987196,-70.741942
"Suffolk County","MA",42.338551,-71.018253
"Worcester County","MA",42.311693,-71.940282
"Alcona County","MI",44.657509,-83.29458
"Alger County","MI",46.521736,-86.657119
"Allegan County","MI",42.421251,-86.261403
"Alpena County","MI",44.894954,-83.426574
"Antrim County","MI",45.005455,-85.175639
"Arenac County","MI",44.036833,-83.740675
"Baraga County","MI",46.695859,-88.36181
"Barry County","MI",42.582811,-85.31455
"Bay County","MI",43.699711,-83.978701
"Benzie County","MI",44.636844,-86.231999
"Berrien County","MI",41.791382,-86.742543
"Branch County","MI",41.918455,-85.066885
"Calhoun County","MI",42.24299,-85.012385
"Cass County","MI",41.917243,-86.000142
"Charlevoix County","MI",45.618554,-85.543684
"Cheboygan County","MI",45.476022,-84.495431
"Chippewa County","MI",46.321819,-84.52063
"Clare County","MI",43.991137,-84.838325
"Clinton County","MI",42.950455,-84.591695
"Crawford County","MI",44.680175,-84.611343
"Delta County","MI",45.805229,-86.901938
"Dickinson County","MI",46.012833,-87.866139
"Eaton County","MI",42.58953,-84.84645
"Emmet County","MI",45.590094,-84.986822
"Genesee County","MI",43.021077,-83.706372
"Gladwin County","MI",43.98975,-84.389816
"Gogebic County","MI",46.488054,-89.788314
"Grand Traverse County","MI",44.718688,-85.553848
"Gratiot County","MI",43.292326,-84.60469
"Hillsdale County","MI",41.927461,-84.637479
"Houghton County","MI",46.998427,-88.651903
"Huron County","MI",43.907616,-82.857045
"Ingham County","MI",42.603534,-84.373811
"Ionia County","MI",42.94465,-85.073766
"Iosco County","MI",44.386912,-83.380141
"Iron County","MI",46.170254,-88.540526
"Isabella County","MI",43.645233,-84.839424
"Jackson County","MI",42.248474,-84.420868
"Kalamazoo County","MI",42.246266,-85.532854
"Kalkaska County","MI",44.678881,-85.088992
"Kent County","MI",43.032497,-85.547446
"Keweenaw County","MI",47.367297,-88.351332
"Lake County","MI",43.995187,-85.8114
"Lapeer County","MI",43.088633,-83.224325
"Leelanau County","MI",45.146182,-86.051574
"Lenawee County","MI",41.896022,-84.074356
"Livingston County","MI",42.602532,-83.911718
"Luce County","MI",46.510988,-85.517552
"Mackinac County","MI",46.167868,-85.303762
"Macomb County","MI",42.671553,-82.911456
"Manistee County","MI",44.245268,-86.327537
"Marquette County","MI",46.656596,-87.584028
"Mason County","MI",43.957196,-86.442937
"Mecosta County","MI",43.635295,-85.332751
"Menominee County","MI",45.535568,-87.501457
"Midland County","MI",43.648203,-84.379414
"Missaukee County","MI",44.325424,-85.085471
"Monroe County","MI",41.916097,-83.487106
"Montcalm County","MI",43.312782,-85.149468
"Montmorency County","MI",45.024134,-84.130107
"Muskegon County","MI",43.428739,-86.420908
"Newaygo County","MI",43.562712,-85.791372
"Oakland County","MI",42.660452,-83.38421
"Oceana County","MI",43.603954,-86.467177
"Ogemaw County","MI",44.33328,-84.128073
"Ontonagon County","MI",46.835325,-89.276912
"Osceola County","MI",43.997552,-85.322283
"Oscoda County","MI",44.687257,-84.126905
"Otsego County","MI",45.021787,-84.576603
"Ottawa County","MI",43.054969,-86.219349
"Presque Isle County","MI",45.252397,-83.432283
"Roscommon County","MI",44.339517,-84.611271
"Saginaw County","MI",43.328267,-84.05541
"St. Clair County","MI",42.928803,-82.668913
"St. Joseph County","MI",41.911488,-85.52287
"Sanilac County","MI",43.449155,-82.642815
"Schoolcraft County","MI",46.021122,-86.197029
"Shiawassee County","MI",42.951545,-84.146352
"Tuscola County","MI",43.487902,-83.436618
"Van Buren County","MI",42.28215,-86.306076
"Washtenaw County","MI",42.252217,-83.843423
"Wayne County","MI",42.284664,-83.261953
"Wexford County","MI",44.331375,-85.570046
"Aitkin County","MN",46.602446,-93.41976
"Anoka County","MN",45.27411,-93.242723
"Becker County","MN",46.937629,-95.741757
"Beltrami County","MN",47.879508,-95.00505
"Benton County","MN",45.701225,-94.00144
"Big Stone County","MN",45.419925,-96.402226
"Blue Earth County","MN",44.03371,-94.064012
"Brown County","MN",44.246541,-94.733647
"Carlton County","MN",46.603818,-92.671044
"Carver County","MN",44.82132,-93.800091
"Cass County","MN",46.951745,-94.333705
"Chippewa County","MN",45.028625,-95.564108
"Chisago County","MN",45.505444,-92.903849
"Clay County","MN",46.898377,-96.494901
"Clearwater County","MN",47.575873,-95.371117
"Cook County","MN",47.758556,-90.344319
"Cottonwood County","MN",44.010639,-95.183152
"Crow Wing County","MN",46.491653,-94.070718
"Dakota County","MN",44.670893,-93.062481
"Dodge County","MN",44.020706,-92.869353
"Douglas County","MN",45.936835,-95.462155
"Faribault County","MN",43.676522,-93.947234
"Fillmore County","MN",43.679187,-92.093937
"Freeborn County","MN",43.674202,-93.350289
"Goodhue County","MN",44.406178,-92.716
"Grant County","MN",45.930743,-96.010699
"Hennepin County","MN",45.006121,-93.475228
"Houston County","MN",43.66699,-91.501556
"Hubbard County","MN",47.095551,-94.91329
"Isanti County","MN",45.562431,-93.296339
"Itasca County","MN",47.490817,-93.611102
"Jackson County","MN",43.671111,-95.149731
"Kanabec County","MN",45.94776,-93.297788
"Kandiyohi County","MN",45.152714,-95.004981
"Kittson County","MN",48.77604,-96.780349
"Koochiching County","MN",48.245374,-93.782896
"Lac qui Parle County","MN",44.999856,-96.176836
"Lake County","MN",47.517111,-91.411704
"Lake of the Woods County","MN",48.7681,-94.904633
"Le Sueur County","MN",44.373421,-93.730106
"Lincoln County","MN",44.408238,-96.272032
"Lyon County","MN",44.409195,-95.847268
"McLeod County","MN",44.821657,-94.272323
"Mahnomen County","MN",47.328387,-95.811089
"Marshall County","MN",48.362728,-96.357761
"Martin County","MN",43.677173,-94.547096
"Meeker County","MN",45.123155,-94.527346
"Mille Lacs County","MN",45.929043,-93.632996
"Morrison County","MN",46.020484,-94.266619
"Mower County","MN",43.666249,-92.759514
"Murray County","MN",44.015594,-95.761581
"Nicollet County","MN",44.35882,-94.245684
"Nobles County","MN",43.677686,-95.763132
"Norman County","MN",47.329453,-96.463776
"Olmsted County","MN",43.9995,-92.410096
"Otter Tail County","MN",46.405727,-95.714581
"Pennington County","MN",48.069247,-96.037725
"Pine County","MN",46.10094,-92.763094
"Pipestone County","MN",44.015361,-96.257015
"Polk County","MN",47.774254,-96.400027
"Pope County","MN",45.589623,-95.446705
"Ramsey County","MN",45.015204,-93.099965
"Red Lake County","MN",47.865487,-96.08718
"Redwood County","MN",44.403536,-95.254241
"Renville County","MN",44.723697,-94.955617
"Rice County","MN",44.350775,-93.298513
"Rock County","MN",43.669587,-96.263238
"Roseau County","MN",48.761068,-95.821504
"St. Louis County","MN",47.578635,-92.514585
"Scott County","MN",44.651811,-93.533733
"Sherburne County","MN",45.453176,-93.76913
"Sibley County","MN",44.575734,-94.230123
"Stearns County","MN",45.555235,-94.610482
"Steele County","MN",44.015261,-93.220453
"Stevens County","MN",45.593461,-95.992315
"Swift County","MN",45.27581,-95.690124
"Todd County","MN",46.066569,-94.900576
"Traverse County","MN",45.769935,-96.474832
"Wabasha County","MN",44.289634,-92.233454
"Wadena County","MN",46.586986,-94.988608
"Waseca County","MN",44.01846,-93.589844
"Washington County","MN",45.037929,-92.890117
"Watonwan County","MN",43.978109,-94.613798
"Wilkin County","MN",46.362335,-96.476657
"Winona County","MN",43.981353,-91.777044
"Wright County","MN",45.175091,-93.966396
"Yellow Medicine County","MN",44.715736,-95.862756
"Adams County","MS",31.486224,-91.351797
"Alcorn County","MS",34.886569,-88.581109
"Amite County","MS",31.203933,-90.795542
"Attala County","MS",33.090468,-89.588622
"Benton County","MS",34.809593,-89.200213
"Bolivar County","MS",33.799139,-90.88412
"Calhoun County","MS",33.936634,-89.337114
"Carroll County","MS",33.440795,-89.918887
"Chickasaw County","MS",33.933277,-88.947558
"Choctaw County","MS",33.345964,-89.251332
"Claiborne County","MS",31.97281,-90.915424
"Clarke County","MS",32.045374,-88.687976
"Clay County","MS",33.65967,-88.782468
"Coahoma County","MS",34.230316,-90.60401
"Copiah County","MS",31.866915,-90.448758
"Covington County","MS",31.633331,-89.548897
"DeSoto County","MS",34.874922,-89.991211
"Forrest County","MS",31.18858,-89.259447
"Franklin County","MS",31.477773,-90.895457
"George County","MS",30.855431,-88.642268
"Greene County","MS",31.212845,-88.634811
"Grenada County","MS",33.770031,-89.80274
"Hancock County","MS",30.391641,-89.482791
"Harrison County","MS",30.416536,-89.083376
"Hinds County","MS",32.267788,-90.466017
"Holmes County","MS",33.125942,-90.091197
"Humphreys County","MS",33.130996,-90.523421
"Issaquena County","MS",32.755539,-91.003535
"Itawamba County","MS",34.281075,-88.363127
"Jackson County","MS",30.456005,-88.625101
"Jasper County","MS",32.016748,-89.119176
"Jefferson County","MS",31.733633,-91.043878
"Jefferson Davis County","MS",31.564808,-89.827086
"Jones County","MS",31.616601,-89.168532
"Kemper County","MS",32.750136,-88.625631
"Lafayette County","MS",34.353078,-89.485385
"Lamar County","MS",31.197586,-89.506369
"Lauderdale County","MS",32.403998,-88.660449
"Lawrence County","MS",31.550009,-90.10753
"Leake County","MS",32.76063,-89.52225
"Lee County","MS",34.29237,-88.682439
"Leflore County","MS",33.54979,-90.294934
"Lincoln County","MS",31.535216,-90.453566
"Lowndes County","MS",33.471424,-88.439723
"Madison County","MS",32.63437,-90.03416
"Marion County","MS",31.230167,-89.821712
"Marshall County","MS",34.76619,-89.504231
"Monroe County","MS",33.89003,-88.485038
"Montgomery County","MS",33.500714,-89.639625
"Neshoba County","MS",32.752518,-89.119274
"Newton County","MS",32.40197,-89.118412
"Noxubee County","MS",33.106606,-88.566152
"Oktibbeha County","MS",33.422313,-88.876151
"Panola County","MS",34.365205,-89.963065
"Pearl River County","MS",30.774793,-89.586904
"Perry County","MS",31.169307,-88.988755
"Pike County","MS",31.177516,-90.397725
"Pontotoc County","MS",34.227081,-89.037239
"Prentiss County","MS",34.620566,-88.522184
"Quitman County","MS",34.252833,-90.290171
"Rankin County","MS",32.267123,-89.946063
"Scott County","MS",32.411959,-89.533486
"Sharkey County","MS",32.892395,-90.827613
"Simpson County","MS",31.902505,-89.917709
"Smith County","MS",32.019029,-89.494876
"Stone County","MS",30.790184,-89.112297
"Sunflower County","MS",33.605529,-90.59509
"Tallahatchie County","MS",33.954529,-90.172243
"Tate County","MS",34.649553,-89.943105
"Tippah County","MS",34.763618,-88.918819
"Tishomingo County","MS",34.738835,-88.234827
"Tunica County","MS",34.652201,-90.37177
"Union County","MS",34.489533,-89.002339
"Walthall County","MS",31.164492,-90.103431
"Warren County","MS",32.356095,-90.852384
"Washington County","MS",33.273174,-90.944446
"Wayne County","MS",31.642503,-88.678214
"Webster County","MS",33.612061,-89.283961
"Wilkinson County","MS",31.161091,-91.324617
"Winston County","MS",33.078724,-89.037391
"Yalobusha County","MS",34.030666,-89.703807
"Yazoo County","MS",32.765675,-90.387928
"Adair County","MO",40.190666,-92.603592
"Andrew County","MO",39.988863,-94.803551
"Atchison County","MO",40.431846,-95.437555
"Audrain County","MO",39.214481,-91.843418
"Barry County","MO",36.699376,-93.834334
"Barton County","MO",37.500799,-94.344089
"Bates County","MO",38.257217,-94.339246
"Benton County","MO",38.301036,-93.287942
"Bollinger County","MO",37.318427,-90.024645
"Boone County","MO",38.989861,-92.310202
"Buchanan County","MO",39.660369,-94.808173
"Butler County","MO",36.71518,-90.40313
"Caldwell County","MO",39.658998,-93.979179
"Callaway County","MO",38.835547,-91.923446
"Camden County","MO",38.026527,-92.765327
"Cape Girardeau County","MO",37.384141,-89.685658
"Carroll County","MO",39.427375,-93.500227
"Carter County","MO",36.944858,-90.945705
"Cass County","MO",38.646474,-94.354547
"Cedar County","MO",37.733655,-93.850014
"Chariton County","MO",39.517968,-92.96162
"Christian County","MO",36.969739,-93.187614
"Clark County","MO",40.407275,-91.729472
"Clay County","MO",39.315551,-94.421502
"Clinton County","MO",39.608723,-94.395803
"Cole County","MO",38.503233,-92.280027
"Cooper County","MO",38.847093,-92.810069
"Crawford County","MO",37.966559,-91.313936
"Dade County","MO",37.43235,-93.854878
"Dallas County","MO",37.683583,-93.033815
"Daviess County","MO",39.962839,-93.970053
"DeKalb County","MO",39.894665,-94.40719
"Dent County","MO",37.603072,-91.489717
"Douglas County","MO",36.946517,-92.515892
"Dunklin County","MO",36.153025,-90.062254
"Franklin County","MO",38.413003,-91.072832
"Gasconade County","MO",38.441183,-91.50578
"Gentry County","MO",40.208127,-94.405321
"Greene County","MO",37.258196,-93.340641
"Grundy County","MO",40.112541,-93.565054
"Harrison County","MO",40.34562,-93.992582
"Henry County","MO",38.386491,-93.792628
"Hickory County","MO",37.93691,-93.322988
"Holt County","MO",40.095724,-95.219072
"Howard County","MO",39.143365,-92.695926
"Howell County","MO",36.774369,-91.887368
"Iron County","MO",37.625971,-90.699587
"Jackson County","MO",39.005364,-94.343211
"Jasper County","MO",37.205197,-94.337259
"Jefferson County","MO",38.25763,-90.543681
"Johnson County","MO",38.741528,-93.811863
"Knox County","MO",40.136856,-92.146835
"Laclede County","MO",37.659698,-92.594843
"Lafayette County","MO",39.068705,-93.802639
"Lawrence County","MO",37.10659,-93.830551
"Lewis County","MO",40.084559,-91.728803
"Lincoln County","MO",39.062255,-90.962916
"Linn County","MO",39.86444,-93.108019
"Livingston County","MO",39.778587,-93.548201
"McDonald County","MO",36.627955,-94.343716
"Macon County","MO",39.829795,-92.56434
"Madison County","MO",37.474481,-90.343413
"Maries County","MO",38.162615,-91.923601
"Marion County","MO",39.807538,-91.635379
"Mercer County","MO",40.421413,-93.567631
"Miller County","MO",38.21668,-92.429876
"Mississippi County","MO",36.826264,-89.295929
"Moniteau County","MO",38.633037,-92.583642
"Monroe County","MO",39.49827,-92.006458
"Montgomery County","MO",38.935184,-91.465427
"Morgan County","MO",38.420806,-92.874835
"New Madrid County","MO",36.594261,-89.655948
"Newton County","MO",36.908371,-94.335034
"Nodaway County","MO",40.361136,-94.883146
"Oregon County","MO",36.68531,-91.401827
"Osage County","MO",38.464253,-91.859504
"Ozark County","MO",36.64959,-92.458549
"Pemiscot County","MO",36.209916,-89.785942
"Perry County","MO",37.71113,-89.802125
"Pettis County","MO",38.727367,-93.285207
"Phelps County","MO",37.866326,-91.790349
"Pike County","MO",39.339959,-91.171607
"Platte County","MO",39.37869,-94.761477
"Polk County","MO",37.616761,-93.400817
"Pulaski County","MO",37.824835,-92.207022
"Putnam County","MO",40.478606,-93.014531
"Ralls County","MO",39.553455,-91.524787
"Randolph County","MO",39.439249,-92.492959
"Ray County","MO",39.308401,-93.995746
"Reynolds County","MO",37.366464,-90.972282
"Ripley County","MO",36.65017,-90.874834
"St. Charles County","MO",38.781102,-90.674915
"St. Clair County","MO",38.04223,-93.77656
"Ste. Genevieve County","MO",37.885845,-90.161531
"St. Francois County","MO",37.810707,-90.473868
"St. Louis County","MO",38.640688,-90.446073
"Saline County","MO",39.13584,-93.204164
"Schuyler County","MO",40.469361,-92.519016
"Scotland County","MO",40.447686,-92.142824
"Scott County","MO",37.047793,-89.568098
"Shannon County","MO",37.152498,-91.391328
"Shelby County","MO",39.797531,-92.088719
"Stoddard County","MO",36.851557,-89.947481
"Stone County","MO",36.745822,-93.457842
"Sullivan County","MO",40.209587,-93.109783
"Taney County","MO",36.649827,-93.042819
"Texas County","MO",37.314257,-91.964478
"Vernon County","MO",37.850196,-94.341597
"Warren County","MO",38.761902,-91.159306
"Washington County","MO",37.942611,-90.897018
"Wayne County","MO",37.111074,-90.453931
"Webster County","MO",37.280804,-92.87608
"Worth County","MO",40.480499,-94.419198
"Wright County","MO",37.267633,-92.479989
"St. Louis city","MO",38.635699,-90.244582
"Beaverhead County","MT",45.133863,-112.892869
"Big Horn County","MT",45.407868,-107.518162
"Blaine County","MT",48.428282,-108.967648
"Broadwater County","MT",46.329849,-111.497873
"Carbon County","MT",45.224468,-109.028554
"Carter County","MT",45.516825,-104.515324
"Cascade County","MT",47.316575,-111.350262
"Chouteau County","MT",47.886834,-110.4362
"Custer County","MT",46.261414,-105.550352
"Daniels County","MT",48.794429,-105.541739
"Dawson County","MT",47.26613,-104.898271
"Deer Lodge County","MT",46.094672,-113.141624
"Fallon County","MT",46.318184,-104.405718
"Fergus County","MT",47.221816,-109.232956
"Flathead County","MT",48.295422,-114.052059
"Gallatin County","MT",45.518054,-111.163921
"Garfield County","MT",47.267184,-106.995991
"Glacier County","MT",48.705671,-112.990502
"Golden Valley County","MT",46.380624,-109.174586
"Granite County","MT",46.395955,-113.427356
"Hill County","MT",48.631959,-110.106321
"Jefferson County","MT",46.124232,-112.059428
"Judith Basin County","MT",47.032558,-110.30532
"Lake County","MT",47.642901,-114.083687
"Lewis and Clark County","MT",47.132013,-112.373367
"Liberty County","MT",48.559654,-111.036924
"Lincoln County","MT",48.552385,-115.463185
"McCone County","MT",47.629628,-105.757222
"Madison County","MT",45.32529,-111.913791
"Meagher County","MT",46.5857,-110.92174
"Mineral County","MT",47.129687,-115.085385
"Missoula County","MT",47.027263,-113.892691
"Musselshell County","MT",46.505281,-108.439763
"Park County","MT",45.463081,-110.53493
"Petroleum County","MT",47.141917,-108.226575
"Phillips County","MT",48.250143,-107.928897
"Pondera County","MT",48.228604,-112.220761
"Powder River County","MT",45.408926,-105.555344
"Powell County","MT",46.844225,-112.9311
"Prairie County","MT",46.812384,-105.503994
"Ravalli County","MT",46.077744,-114.105795
"Richland County","MT",47.785633,-104.563408
"Roosevelt County","MT",48.282747,-104.99517
"Rosebud County","MT",46.173206,-106.666792
"Sanders County","MT",47.756497,-115.180306
"Sheridan County","MT",48.705587,-104.533916
"Silver Bow County","MT",45.896232,-112.660071
"Stillwater County","MT",45.658545,-109.381576
"Sweet Grass County","MT",45.811292,-109.944796
"Teton County","MT",47.819035,-112.281725
"Toole County","MT",48.645125,-111.733472
"Treasure County","MT",46.229441,-107.285772
"Valley County","MT",48.34985,-106.670424
"Wheatland County","MT",46.496967,-109.857684
"Wibaux County","MT",46.962966,-104.274518
"Yellowstone County","MT",45.936987,-108.276656
"Adams County","NE",40.520632,-98.500044
"Antelope County","NE",42.183225,-98.058037
"Arthur County","NE",41.57193,-101.695917
"Banner County","NE",41.53975,-103.726263
"Blaine County","NE",41.931945,-99.996407
"Boone County","NE",41.703934,-98.070476
"Box Butte County","NE",42.21038,-103.081779
"Boyd County","NE",42.894448,-98.773022
"Brown County","NE",42.359562,-99.92392
"Buffalo County","NE",40.855265,-99.074984
"Burt County","NE",41.854179,-96.337746
"Butler County","NE",41.226072,-97.132039
"Cass County","NE",40.909878,-96.140609
"Cedar County","NE",42.60456,-97.25687
"Chase County","NE",40.53039,-101.694192
"Cherry County","NE",42.571323,-101.047653
"Cheyenne County","NE",41.214236,-103.011929
"Clay County","NE",40.523669,-98.050858
"Colfax County","NE",41.57496,-97.088945
"Cuming County","NE",41.915865,-96.788517
"Custer County","NE",41.393893,-99.726866
"Dakota County","NE",42.391624,-96.561327
"Dawes County","NE",42.713038,-103.135436
"Dawson County","NE",40.86784,-99.815583
"Deuel County","NE",41.111903,-102.332609
"Dixon County","NE",42.485086,-96.855784
"Dodge County","NE",41.577008,-96.645852
"Douglas County","NE",41.297091,-96.154066
"Dundy County","NE",40.180165,-101.681133
"Fillmore County","NE",40.52504,-97.596705
"Franklin County","NE",40.183203,-98.96208
"Frontier County","NE",40.530947,-100.406683
"Furnas County","NE",40.191865,-99.909663
"Gage County","NE",40.255234,-96.683453
"Garden County","NE",41.633364,-102.302985
"Garfield County","NE",41.906868,-98.951231
"Gosper County","NE",40.509095,-99.823206
"Grant County","NE",41.913957,-101.755965
"Greeley County","NE",41.567571,-98.530565
"Hall County","NE",40.866027,-98.502664
"Hamilton County","NE",40.872817,-98.022329
"Harlan County","NE",40.178766,-99.403418
"Hayes County","NE",40.537234,-101.047963
"Hitchcock County","NE",40.176896,-101.044217
"Holt County","NE",42.459287,-98.784766
"Hooker County","NE",41.920317,-101.117324
"Howard County","NE",41.216851,-98.513342
"Jefferson County","NE",40.175736,-97.143103
"Johnson County","NE",40.394955,-96.265264
"Kearney County","NE",40.50912,-98.947602
"Keith County","NE",41.194245,-101.644449
"Keya Paha County","NE",42.87548,-99.718351
"Kimball County","NE",41.199274,-103.703153
"Knox County","NE",42.634404,-97.891349
"Lancaster County","NE",40.783547,-96.688658
"Lincoln County","NE",41.050322,-100.744481
"Logan County","NE",41.542155,-100.443665
"Loup County","NE",41.903183,-99.509852
"McPherson County","NE",41.648414,-101.120851
"Madison County","NE",41.909929,-97.606856
"Merrick County","NE",41.16979,-98.031057
"Morrill County","NE",41.732204,-102.990594
"Nance County","NE",41.402385,-97.991408
"Nemaha County","NE",40.387389,-95.852721
"Nuckolls County","NE",40.176492,-98.046842
"Otoe County","NE",40.637992,-96.131027
"Pawnee County","NE",40.137797,-96.245214
"Perkins County","NE",40.857646,-101.627468
"Phelps County","NE",40.516365,-99.406557
"Pierce County","NE",42.271413,-97.610992
"Platte County","NE",41.576866,-97.513467
"Polk County","NE",41.187925,-97.570663
"Red Willow County","NE",40.16942,-100.468576
"Richardson County","NE",40.123743,-95.718603
"Rock County","NE",42.394749,-99.420851
"Saline County","NE",40.516802,-97.131755
"Sarpy County","NE",41.115064,-96.109125
"Saunders County","NE",41.223388,-96.642097
"Scotts Bluff County","NE",41.850506,-103.703021
"Seward County","NE",40.871944,-97.140383
"Sheridan County","NE",42.512289,-102.36828
"Sherman County","NE",41.218743,-98.972849
"Sioux County","NE",42.470668,-103.73217
"Stanton County","NE",41.905045,-97.177109
"Thayer County","NE",40.173487,-97.596186
"Thomas County","NE",41.85573,-100.524703
"Thurston County","NE",42.154061,-96.533943
"Valley County","NE",41.564094,-98.983484
"Washington County","NE",41.533973,-96.224577
"Wayne County","NE",42.210746,-97.126243
"Webster County","NE",40.180646,-98.49859
"Wheeler County","NE",41.922575,-98.520853
"York County","NE",40.873056,-97.596742
"Churchill County","NV",39.53771,-118.264166
"Clark County","NV",36.21413,-115.014398
"Douglas County","NV",38.905129,-119.609019
"Elko County","NV",41.141133,-115.351424
"Esmeralda County","NV",37.778966,-117.632382
"Eureka County","NV",39.977788,-116.272208
"Humboldt County","NV",41.407914,-118.127591
"Lander County","NV",39.90021,-117.04724
"Lincoln County","NV",37.634605,-114.863037
"Lyon County","NV",39.022213,-119.197425
"Mineral County","NV",38.516647,-118.416279
"Nye County","NV",37.965864,-116.459011
"Pershing County","NV",40.439639,-118.409477
"Storey County","NV",39.438385,-119.524646
"Washoe County","NV",40.73132,-119.663269
"White Pine County","NV",39.418176,-114.900565
"Carson City","NV",39.15306,-119.747368
"Belknap County","NH",43.519109,-71.425366
"Carroll County","NH",43.867774,-71.20156
"Cheshire County","NH",42.92546,-72.248183
"Coos County","NH",44.652548,-71.289431
"Grafton County","NH",43.926439,-71.842424
"Hillsborough County","NH",42.911532,-71.723055
"Merrimack County","NH",43.299579,-71.680041
"Rockingham County","NH",42.988664,-71.09908
"Strafford County","NH",43.293272,-71.035589
"Sullivan County","NH",43.361188,-72.222084
"Atlantic County","NJ",39.469355,-74.633759
"Bergen County","NJ",40.959698,-74.074727
"Burlington County","NJ",39.875786,-74.663006
"Camden County","NJ",39.802407,-74.961249
"Cape May County","NJ",39.085841,-74.846354
"Cumberland County","NJ",39.328434,-75.121628
"Essex County","NJ",40.7874,-74.246292
"Gloucester County","NJ",39.722875,-75.145679
"Hudson County","NJ",40.731375,-74.078601
"Hunterdon County","NJ",40.565283,-74.911969
"Mercer County","NJ",40.282503,-74.703724
"Middlesex County","NJ",40.439621,-74.40743
"Monmouth County","NJ",40.287048,-74.152446
"Morris County","NJ",40.858896,-74.547292
"Ocean County","NJ",39.865669,-74.258864
"Passaic County","NJ",41.036655,-74.299408
"Salem County","NJ",39.573828,-75.357356
"Somerset County","NJ",40.565527,-74.619938
"Sussex County","NJ",41.137461,-74.691914
"Union County","NJ",40.659871,-74.308696
"Warren County","NJ",40.853491,-75.009498
"Bernalillo County","NM",35.053628,-106.66908
"Catron County","NM",33.901621,-108.391928
"Chaves County","NM",33.361604,-104.469837
"Cibola County","NM",34.928272,-107.99268
"Colfax County","NM",36.612964,-104.64011
"Curry County","NM",34.572984,-103.346055
"De Baca County","NM",34.359273,-104.368696
"Doña Ana County","NM",32.349919,-106.834968
"Eddy County","NM",32.457835,-104.306434
"Grant County","NM",32.732087,-108.381504
"Guadalupe County","NM",34.869782,-104.784968
"Harding County","NM",35.859352,-103.853424
"Hidalgo County","NM",31.898052,-108.751929
"Lea County","NM",32.795687,-103.413271
"Lincoln County","NM",33.740841,-105.449805
"Los Alamos County","NM",35.870047,-106.307968
"Luna County","NM",32.184523,-107.747191
"McKinley County","NM",35.584062,-108.253294
"Mora County","NM",35.982841,-104.921898
"Otero County","NM",32.615599,-105.751308
"Quay County","NM",35.107018,-103.548071
"Rio Arriba County","NM",36.509669,-106.693983
"Roosevelt County","NM",34.021207,-103.483004
"Sandoval County","NM",35.685091,-106.883119
"San Juan County","NM",36.511624,-108.324578
"San Miguel County","NM",35.476859,-104.803519
"Santa Fe County","NM",35.514531,-105.963972
"Sierra County","NM",33.119468,-107.188161
"Socorro County","NM",33.991658,-106.939136
"Taos County","NM",36.577183,-105.638878
"Torrance County","NM",34.554978,-105.890557
"Union County","NM",36.488085,-103.475723
"Valencia County","NM",34.71684,-106.806582
"Albany County","NY",42.58824,-73.97401
"Allegany County","NY",42.247853,-78.026153
"Bronx County","NY",40.848711,-73.852939
"Broome County","NY",42.161977,-75.830283
"Cattaraugus County","NY",42.239099,-78.662332
"Cayuga County","NY",43.008546,-76.574587
"Chautauqua County","NY",42.304216,-79.407595
"Chemung County","NY",42.148697,-76.752471
"Chenango County","NY",42.478024,-75.602241
"Clinton County","NY",44.752712,-73.705643
"Columbia County","NY",42.247696,-73.626718
"Cortland County","NY",42.594039,-76.07624
"Delaware County","NY",42.193986,-74.966728
"Dutchess County","NY",41.754825,-73.740014
"Erie County","NY",42.752759,-78.778192
"Essex County","NY",44.109601,-73.778431
"Franklin County","NY",44.594376,-74.31067
"Fulton County","NY",43.115609,-74.423678
"Genesee County","NY",43.00091,-78.192778
"Greene County","NY",42.279821,-74.142025
"Hamilton County","NY",43.657879,-74.502456
"Herkimer County","NY",43.571009,-74.841097
"Jefferson County","NY",43.996389,-76.052968
"Kings County","NY",40.635045,-73.95064
"Lewis County","NY",43.782681,-75.44414
"Livingston County","NY",42.729042,-77.778463
"Madison County","NY",42.910026,-75.663575
"Monroe County","NY",43.250347,-77.700518
"Montgomery County","NY",42.900891,-74.435357
"Nassau County","NY",40.729612,-73.589414
"New York County","NY",40.776642,-73.970187
"Niagara County","NY",43.272672,-78.812943
"Oneida County","NY",43.242727,-75.434282
"Onondaga County","NY",43.006516,-76.196134
"Ontario County","NY",42.856357,-77.303497
"Orange County","NY",41.40241,-74.306252
"Orleans County","NY",43.339906,-78.207028
"Oswego County","NY",43.461443,-76.209262
"Otsego County","NY",42.629776,-75.028841
